"Year";"Name";"Location";"Country";"Type";"Status";"Volcano Explosivity Index (VEI)"
"1924";"Kilauea";"Hawaiian Is";"United States";"Shield volcano";"Historical";"2"
"1926";"Tokachi";"Hokkaido-Japan";"Japan";"Stratovolcano";"Historical";"3"
"1927";"Paluweh";"Lesser Sunda Is";"Indonesia";"Stratovolcano";"Historical";""
"1927";"Esjufjoll";"Iceland-SE";"Iceland";"Stratovolcano";"Historical";"1"
"1928";"Santorini";"Greece";"Greece";"Shield volcano";"Historical";"2"
"1928";"Mayon";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"3"
"1928";"Krakatau";"Indonesia";"Indonesia";"Caldera";"Historical";""
"1928";"Dieng Volc Complex";"Java";"Indonesia";"Complex volcano";"Historical";"2"
"1928";"Paluweh";"Lesser Sunda Is";"Indonesia";"Stratovolcano";"Historical";"3"
"1928";"Etna";"Italy";"Italy";"Stratovolcano";"Historical";"1"
"1929";"Komaga-take";"Hokkaido-Japan";"Japan";"Stratovolcano";"Historical";"4"
"1929";"Santa Maria";"Guatemala";"Guatemala";"Stratovolcano";"Historical";"3"
"1930";"Krakatau";"Indonesia";"Indonesia";"Caldera";"Historical";"2"
"1930";"Asama";"Honshu-Japan";"Japan";"Complex volcano";"Historical";"3"
"1930";"Stromboli";"Italy";"Italy";"Stratovolcano";"Historical";"3"
"1930";"Merapi";"Java";"Indonesia";"Stratovolcano";"Historical";"3"
"1931";"Asama";"Honshu-Japan";"Japan";"Complex volcano";"Historical";"3"
"1932";"Fuego";"Guatemala";"Guatemala";"Stratovolcano";"Historical";"4"
"1932";"Kusatsu-Shirane";"Honshu-Japan";"Japan";"Stratovolcano";"Historical";"3"
"1933";"Kharimkotan";"Kuril Is";"Russia";"Stratovolcano";"Historical";"3"
"1933";"Kuchinoerabu-jima";"Ryukyu Is";"Japan";"Stratovolcano";"Historical";"4"
"1933";"Bulusan";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"2"
"1936";"Asama";"Honshu-Japan";"Japan";"Complex volcano";"Historical";"3"
"1937";"Llaima";"Chile-C";"Chile";"Stratovolcano";"Historical";"2"
"1937";"Rabaul";"New Britain-SW Pac";"Papua New Guinea";"Pyroclastic shield";"Historical";"4"
"1938";"Nyamuragira";"Africa-C";"Congo, DRC";"Shield volcano";"Historical";"1"
"1938";"Mayon";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"2"
"1939";"Tori-shima";"Izu Is-Japan";"Japan";"Stratovolcano";"Historical";"2"
"1939";"Dieng Volc Complex";"Java";"Indonesia";"Complex volcano";"Historical";"1"
"1940";"Karangetang [Api Siau]";"Sangihe Is-Indonesia";"Indonesia";"Stratovolcano";"Historical";"2"
"1940";"Miyake-jima";"Izu Is-Japan";"Japan";"Stratovolcano";"Historical";"2"
"1940";"Lengai, Ol Doinyo";"Africa-E";"Tanzania";"Stratovolcano";"Historical";"2"
"1941";"Asama";"Honshu-Japan";"Japan";"Complex volcano";"Historical";"2"
"1941";"Semeru";"Java";"Indonesia";"Stratovolcano";"Historical";"2"
"1943";"Michoacan-Guanajuato";"Mexico";"Mexico";"Cinder cone";"Historical";"4"
"1943";"Azul, Cerro";"Galapagos";"Ecuador";"Shield volcano";"Historical";"3"
"1944";"Vesuvius";"Italy";"Italy";"Complex volcano";"Historical";"2"
"1944";"Cleveland";"Aleutian Is";"United States";"Stratovolcano";"Historical";"3"
"1944";"Usu";"Hokkaido-Japan";"Japan";"Stratovolcano";"Historical";"2"
"1944";"Stromboli";"Italy";"Italy";"Stratovolcano";"Historical";"2"
"1944";"Dieng Volc Complex";"Java";"Indonesia";"Complex volcano";"Historical";"2"
"1946";"Sakura-jima";"Kyushu-Japan";"Japan";"Stratovolcano";"Historical";"2"
"1946";"Semeru";"Java";"Indonesia";"Stratovolcano";"Historical";"2"
"1946";"Semeru";"Java";"Indonesia";"Stratovolcano";"Historical";"2"
"1947";"Mayon";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"2"
"1947";"Asama";"Honshu-Japan";"Japan";"Complex volcano";"Historical";"2"
"1947";"Hekla";"Iceland-S";"Iceland";"Stratovolcano";"Historical";"4"
"1948";"Iliwerung";"Lesser Sunda Is";"Indonesia";"Complex volcano";"Historical";"2"
"1948";"Hibok-Hibok";"Mindanao-Philippines";"Philippines";"Stratovolcano";"Historical";"3"
"1948";"Villarrica";"Chile-C";"Chile";"Stratovolcano";"Historical";"3"
"1949";"Purace";"Colombia";"Colombia";"Stratovolcano";"Historical";"2"
"1950";"Semeru";"Java";"Indonesia";"Stratovolcano";"Historical";"1"
"1950";"Asama";"Honshu-Japan";"Japan";"Complex volcano";"Historical";"2"
"1951";"Lamington";"New Guinea";"Papua New Guinea";"Stratovolcano";"Historical";"4"
"1951";"Cosiguina";"Nicaragua";"Nicaragua";"Stratovolcano";"Historical";""
"1951";"Kelut";"Java";"Indonesia";"Stratovolcano";"Historical";"3"
"1951";"Kavachi";"Solomon Is-SW Pacifi";"Solomon Is.";"Submarine volcano";"Historical";"2"
"1952";"Myojun Knoll";"Izu Is-Japan";"Japan";"Submarine volcano";"Holocene";"2"
"1952";"Myojun Knoll";"Izu Is-Japan";"Japan";"Submarine volcano";"Holocene";"2"
